SMILES,CHEMBL_ID,IC50(nM)
COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4occc4,2,1584.89
CCN1C=C(C(=O)O)C(=O)c2cc(F)c(cc12)N3CCNCC3,9,Not active
C[S+]([O-])c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,10,Not active
CN(C)CCCN1c2ccccc2CCc3ccccc13,11,3388.44
CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,12,Not active
COCCc1ccc(OCC(O)CNC(C)C)cc1,13,Not active
OC1=NC(=O)C(N1)(c2ccccc2)c3ccccc3,16,100000
CC(=O)Nc1nnc(s1)S(=O)(=O)N,20,Not active
COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,23,17300
CC(C)NCC(O)COc1ccc(CC(=O)N)cc1,24,Not active
CCN1CCCC1CNC(=O)c2cc(ccc2OC)S(=O)(=O)N,26,Not active
CC(C)NCC(O)COc1cccc2ccccc12,27,2828
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,29,Not active
CN\C(=N\CCSCc1nc[nH]c1C)\NC#N,30,Not active
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(=O)O,32,79432.82
NS(=O)(=O)c1cc(C(=O)O)c(NCc2occc2)cc1Cl,35,Not active
C\C(=C/C=C/C(=C/C(=O)O)/C)\C=C\C1=C(C)CCCC1(C)C,38,Not active
CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2,41,10
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,42,190.55
COc1cc(NS(=O)(=O)C)ccc1Nc2c3ccccc3nc4ccccc24,43,208.93
Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,44,Not active
COc1ccc2[nH]cc(CCNC(=O)C)c2c1,45,Not active
Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C,46,400
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1,47,Not active
O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4,49,3981.07
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,54,10
NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1,55,12880.2
Cc1ccnc2N(C3CC3)c4ncccc4C(=O)Nc12,57,Not active
OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,58,2937
COc1cc(cc(OC)c1OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](O)c4cc5OCOc5cc24,61,Not active
CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5ccccc5nc34)C2=O,65,Not active
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,71,1470
CNCCCN1c2ccccc2CCc3ccccc13,72,1380.38
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,76,2500
Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,80,Not active
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,81,Not active
CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,83,967
CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(CN(C)C)c(O)ccc5nc34)C2=O,84,Not active
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,86,Not active
ClCCN(CCCl)P1(=O)NCCCO1,88,Not active
Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1,91,Not active
CC(N(O)C(=O)N)c1cc2ccccc2s1,93,Not active
CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1,94,Not active
ONC(=O)CCCCCCC(=O)Nc1ccccc1,98,>30000
CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,101,Not active
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,103,Not active
Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,104,3019.95
CO[C@]12[C@H]3N[C@H]3CN1C4=C([C@H]2COC(=O)N)C(=O)C(=C(C)C4=O)N,105,Not active
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,106,Not active
COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C,107,Not active
Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4,111,2790
CN1C(=O)N(C)c2ncn(C)c2C1=O,113,4897.79
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)S(=O)(=O)c3ccc(N)cc3,116,Not active
Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F,118,Not active
CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3,121,Not active
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)OC2)c3ccccc3,122,Not active
C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CN[C@@H](C3)C(=O)N(C)C,127,Not active
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,128,Not active
CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,129,Not active
OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+](=O)[O-],130,Not active
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,131,Not active
Clc1cccc(Cl)c1NC2=NCCN2,134,Not active
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,135,Not active
OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,139,Not active
NC1=NC(=O)N(C=C1)[C@@H]2CS[C@H](CO)O2,141,Not active
COc1ccc2cc(ccc2c1)[C@H](C)C(=O)O,154,Not active
C[C@H]1[C@H](NC(=O)\C(=N/OC(C)(C)C(=O)O)\c2csc(N)n2)C(=O)N1S(=O)(=O)O,158,Not active
Oc1ccc(\C=C\c2cc(O)cc(O)c2)cc1,165,Not active
O[C@H]([C@H]1CCCCN1)c2cc(nc3c(cccc23)C(F)(F)F)C(F)(F)F,172,1900
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,174,Not active
CC(C)Cc1ccc(cc1)[C@H](C)C(=O)O,175,Not active
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O,177,Not active
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)C,178,Not active
CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,181,Not active
Nc1nc(O)c2ncn(COC(CO)CO)c2n1,182,Not active
Nc1nc(O)c2ncn(COCCO)c2n1,184,Not active
CC1=C(C=C(C#N)C(=O)N1)c2ccncc2,189,Not active
CCCCc1nc(Cl)c(CO)n1Cc2ccc(cc2)c3ccccc3c4nnn[nH]4,191,Not active
CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4,192,3300
COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C,193,50118.72
CC1(C)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(=O)O,403,Not active
C[C@]1(Cn2ccnn2)[C@@H](N3[C@@H](CC3=O)S1(=O)=O)C(=O)O,404,Not active
CC1Cc2ccccc2N1NC(=O)c3ccc(Cl)c(c3)S(=O)(=O)N,406,Not active
CCOC(=O)c1ncn2c1CN(C)C(=O)c3cc(F)ccc23,407,Not active
Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O,408,Not active
CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2,411,Not active
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13,415,Not active
COc1c2OC(=O)C=Cc2cc3ccoc13,416,Not active
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,417,Not active
NC(=N)N\N=C\c1c(Cl)cccc1Cl,420,Not active
OC(=O)c1cc(ccc1O)\N=N\c2ccc(cc2)S(=O)(=O)Nc3ccccn3,421,Not active
CN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,422,5100.8
N[C@@H]1[C@H]2CN(C[C@@H]12)c3nc4N(C=C(C(=O)O)C(=O)c4cc3F)c5ccc(F)cc5F,428,Not active
CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(=O)N,429,Not active
CC(C)NCC(O)c1ccc(O)c(O)c1,434,Not active
NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl,435,Not active
Nc1ccc(cc1)S(=O)(=O)Nc2nccs2,437,Not active
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,438,Not active
Nc1ccc(cc1)S(=O)(=O)Nc2ncccn2,439,Not active
CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O,442,Not active
Cc1onc(NS(=O)(=O)c2ccc(N)cc2)c1,443,Not active
CNCCC=C1c2ccccc2CCc3ccccc13,445,Not active
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,446,Not active
CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,447,Not active
CNC1=Nc2ccc(Cl)cc2C(=[N+]([O-])C1)c3ccccc3,451,Not active
[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1,452,Not active
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,453,Not active
CCC(=C)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,456,Not active
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,457,Not active
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,459,Not active
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,468,Not active
OC(=O)C1CCn2c1ccc2C(=O)c3ccccc3,469,Not active
CC(C)NCC(O)c1ccc(NS(=O)(=O)C)cc1,471,Not active
COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,472,74000
CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,473,10
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1,479,33
Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c2nc3ccccc3[nH]2,480,Not active
CCc1c2CN3C(=O)C4=C(C=C3c2nc5ccc(OC(=O)N6CCC(CC6)N7CCCCC7)cc15)[C@@](O)(CC)C(=O)OC4,481,Not active
CCC1(CCC(=O)NC1=O)c2ccc(N)cc2,488,Not active
Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc3ccc4OCOc4c3,490,8544.5
Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,496,Not active
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,498,Not active
CC(C)(C)NC[C@H](O)COc1nsnc1N2CCOCC2,499,Not active
CC(C)NCC(O)COc1cccc2[nH]ccc12,500,Not active
COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC,502,1995.26
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,503,Not active
CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2,505,1100
COc1cc(NC(C)CCCN)c2ncccc2c1,506,Not active
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,509,Not active
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,511,1100
ClCCNC(=O)N(CCCl)N=O,513,Not active
ClCCN(N=O)C(=O)NC1CCCCC1,514,Not active
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,515,Not active
CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1,516,13967.9
CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,517,12000
CC(C)Cc1ccc(cc1)C(C)C(=O)O,521,Not active
CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ccccn3,527,Not active
CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34,531,120.23
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,532,39
CCCCCCCN(CC)CCCC(O)c1ccc(NS(=O)(=O)C)cc1,533,10
CN1CCC(=C2c3ccccc3CC(=O)c4sccc24)CC1,534,Not active
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C,535,251.19
C\C(=C\C(=O)O)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,547,Not active
CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,549,3981.07
CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2,554,1000
CC(N)COc1c(C)cccc1C,558,10000
COC1=CC(=O)C[C@@H](C)[C@]12Oc3c(Cl)c(OC)cc(OC)c3C2=O,562,Not active
CC(C(=O)O)c1ccc(c(F)c1)c2ccccc2,563,Not active
CN(C)CCCN1c2ccccc2Sc3ccccc13,564,Not active
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,565,Not active
OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,567,4216
CCN(CC)CCOC(=O)c1ccc(N)cc1,569,Not active
CC(C(=O)O)c1cccc(c1)C(=O)c2ccccc2,571,Not active
[O-][N+](=O)c1oc(\C=N\N2CC(=O)NC2=O)cc1,572,Not active
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O,578,Not active
OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,580,Not active
